id;start_date;end_date;language
1;2023-10-22T17:22:31;2023-10-22T16:05:33;ENGLISH
2;2023-10-23T03:03:16;2023-10-23T02:52:32;FRENCH
3;2023-10-23T13:14:15;2023-10-23T04:01:12;SPANISH
4;2023-10-23T12:55:30;2023-10-22T20:03:01;SPANISH
5;2023-10-23T07:57:01;2023-10-23T07:48:36;ENGLISH
6;2023-10-23T04:03:24;2023-10-22T14:58:37;FRENCH
7;2023-10-22T18:21:07;2023-10-22T23:27:22;FRENCH
8;2023-10-22T23:14:49;2023-10-23T02:29:59;ENGLISH
9;2023-10-22T14:57:02;2023-10-22T19:59:17;SPANISH
10;2023-10-22T17:36:07;2023-10-22T13:26:03;SPANISH
