id;street_address;postal_code;city;state_province
1;likewise indeed really;suddenly exactly subsidise;East Daisha;wholly
2;mmm playfully helmet;gadzooks;Baileyville;exclamation
3;yum without provided;panda;West Kamren;slight
4;lest dissimulate vice;destock shawl champion;Crooksfurt;utter melon
5;unbearably subtle;ick;Fort Rubyemouth;unlawful
6;along furthermore hinder;adventurously about chafe;Fort Preciousstad;boastfully why
7;irrigate who psst;since zowie whoever;Hilllfort;mortally
8;impudence;ugh vicious;Reingerside;kookily for
9;uh-huh;forenenst animate;Raheemshire;along safely why
10;very;queasy rigidly pelican;Gloverbury;although
